id,social_media_id,company_id
1,1,1
2,2,1
3,4,1
4,3,1
5,3,2
6,1,3
7,2,3
8,4,3
9,3,3
10,2,4
11,4,4
12,3,4
13,1,5
14,2,5
15,4,5
16,3,5
17,1,6
18,3,6
19,1,7
20,2,7
21,3,7
22,1,8
23,3,8
24,3,9
25,1,10
26,2,10
27,4,10
28,3,10
29,3,11
30,1,12
31,3,13
32,3,14
33,1,15
34,2,15
35,4,15
36,3,15
37,1,16
38,2,16
39,1,17
40,2,17
41,4,17
42,3,17
43,1,18
44,2,18
45,4,18
46,3,18
47,1,19
48,2,19
49,4,19
50,3,19
51,1,20
52,3,20
53,1,21
54,2,21
55,4,21
56,3,21
57,1,22
58,2,22
59,4,22
60,3,22
61,1,23
62,2,23
63,3,23
64,2,24
65,4,24
66,3,24
67,1,25
68,2,25
69,4,25
70,3,25
71,1,26
72,2,26
73,3,26
74,1,27
75,2,27
76,4,27
77,3,27
78,1,28
79,2,28
80,4,28
81,3,28
82,1,29
83,2,29
84,3,29
85,1,30
86,2,30
87,3,30
88,1,31
89,2,31
90,3,31
91,1,32
92,2,32
93,3,32
94,1,33
95,2,33
96,4,33
97,3,33
98,1,34
99,2,34
100,3,34
101,2,35
102,3,35
103,1,36
104,2,36
105,4,36
106,3,36
107,2,37
108,1,38
109,2,38
110,4,38
111,3,38
112,3,39
113,1,40
114,2,40
115,4,40
116,3,40
117,1,41
118,2,41
119,4,41
120,3,41
121,1,42
122,2,42
123,4,42
124,3,42
125,1,43
126,2,43
127,4,43
128,3,43
129,1,44
130,2,45
131,4,45
132,3,45
133,1,46
134,2,46
135,3,46
136,1,47
137,2,47
138,4,47
139,3,47
140,1,48
141,2,48
142,3,48
143,1,49
144,2,49
145,4,49
146,3,49
147,1,50
148,2,50
149,4,50
150,3,50
151,2,51
152,4,51
153,3,51
154,1,52
155,2,52
156,4,52
157,3,52
158,1,53
159,2,53
160,3,53
161,1,54
162,2,54
163,4,54
164,3,54
165,2,55
166,3,55
167,1,56
168,2,56
169,4,56
170,3,56
171,1,57
172,1,58
173,2,58
174,3,58
175,1,59
176,2,59
177,4,59
178,3,59
179,3,60
180,1,62
181,2,62
182,3,62
183,1,63
184,2,63
185,4,63
186,3,63
187,3,64
188,2,65
189,3,65
190,3,66
191,1,67
192,4,67
193,3,67
194,1,68
195,2,68
196,3,68
197,1,69
198,2,69
199,3,69
200,2,70
201,3,70
202,1,71
203,2,71
204,4,71
205,3,71
206,1,72
207,2,72
208,4,72
209,3,72
210,2,73
211,3,73
212,1,74
213,2,74
214,4,74
215,1,75
216,3,75
217,1,76
218,2,76
219,4,76
220,3,76
221,3,77
222,1,78
223,2,78
224,3,78
225,1,79
226,2,79
227,4,79
228,3,79
229,3,80
230,1,81
231,2,81
232,4,81
233,3,81
234,1,82
235,2,82
236,3,82
237,1,83
238,2,83
239,4,83
240,3,83
241,3,84
242,1,85
243,3,85
244,3,86
245,1,87
246,2,87
247,4,87
248,3,87
249,1,88
250,2,88
251,4,88
252,3,88
253,1,89
254,2,89
255,3,89
256,1,90
257,2,90
258,4,90
259,3,90
260,1,91
261,2,91
262,4,91
263,3,91
264,1,93
265,2,93
266,4,93
267,1,94
268,2,94
269,4,94
270,3,94
271,1,95
272,3,95
273,1,96
274,2,96
275,4,96
276,3,96
277,3,97
278,1,98
279,2,98
280,4,98
281,3,98
282,1,99
283,2,99
284,4,99
285,3,99
286,2,100
287,3,100
288,1,101
289,1,102
290,2,102
291,4,102
292,3,102
293,1,103
294,2,103
295,4,103
296,3,103
297,1,104
298,2,104
299,3,104
300,2,105
301,3,105
302,2,106
303,3,106
304,1,107
305,2,107
306,4,107
307,1,108
308,2,108
309,4,108
310,3,108
311,1,109
312,3,109
313,1,110
314,3,110
315,3,111
316,1,112
317,1,113
318,2,113
319,4,113
320,3,113
321,2,114
322,4,114
323,1,115
324,2,115
325,4,115
326,3,115
327,1,116
328,2,116
329,4,116
330,3,116
331,1,117
332,2,117
333,3,117
334,1,118
335,2,118
336,3,118
337,2,119
338,3,119
339,3,120
340,1,121
341,2,121
342,4,121
343,3,121
344,2,122
345,4,122
346,3,122
347,2,123
348,4,123
349,3,123
350,1,124
351,2,124
352,1,125
353,2,125
354,1,126
355,2,126
356,4,126
357,3,126
358,2,127
359,3,127
360,1,128
361,2,128
362,4,128
363,3,128
364,1,129
365,4,129
366,3,129
367,1,130
368,2,130
369,3,130
370,2,131
371,3,131
372,1,132
373,3,132
374,1,133
375,2,133
376,4,133
377,1,134
378,2,134
379,3,134
380,1,135
381,2,135
382,4,135
383,3,135
384,1,136
385,2,136
386,3,136
387,1,137
388,2,137
389,3,137
390,2,138
391,4,138
392,3,138
393,1,139
394,3,139
395,1,140
396,2,140
397,1,141
398,2,141
399,3,141
400,1,142
401,2,142
402,3,142
403,1,143
