id,name,role,company_id
1009,Teng Bao,CPO,515
1010,Dafeng Guo,CTO,515
1011,David Haisha Chen,CEO,515
1012,Christian Romming,CEO,516
1013,Na'ama Moran,CEO,517
1014,"Nikhil Nirmel, CEO",CEO,518
1015,Nitesh Goel,CEO,519
1016,David Petersen,CEO,520
1017,Jiyan Wei,Founder,520
1018,Lior Abraham,Founder,521
1019,Bobby Johnson,CTO,521
1020,Humberto Evans,Software Engineer,522
1021,Mike Robbins,Founder,522
1022,Chris Chan,Founder,523
1023,Derek Chan,Head of Engineer,523
1024,Ray Chan,CEO,523
1025,Marco Fung,Founder,523
1026,Brian Yu,Founder,523
1027,Kieran O'Neill,CEO,525
1028,Ben Phillips,CTO,525
1029,Venky B,,526
1030,Michael Ricordeau,,526
1031,David Cann,CEO,527
1032,Marc DeVidts,Founder,527
1033,Jonathan Tang,CEO/President,528
1034,Todd Sullivan,CEO,529
1035,Maxwell Salzberg,Founder,530
1036,Rosanna Yau,Founder,530
1037,Samuel Clay,,531
1038,Rikin Shah,CEO,532
1039,Chris Kelly,CEO,533
1040,Matthew Huebert,Founder,534
1041,Katelyn Gleason,CEO,536
1042,"Alex Mittal, CEO",CEO,537
1043,"Boris Silver, President",President,537
1044,"Dan Sugarman, CEO",CEO,539
1045,"George Kalogeropoulos, CEO",CEO,540
1046,Ning Liang,,540
1047,Jay Komarneni,CEO,541
1048,Irving Lin,Team Member,541
1049,Mandar Agte,CEO,542
1050,"Russell Smith, CTO",CTO,543
1051,"Fred Stevens-Smith, CEO",CEO,543
1052,Tuyen Truong,CEO,544
1053,Shashank Pandit,Founder,545
1054,Jamie Cameron,Founder,546
1055,Joe Cooper,Founder,546
1056,John Marks,COO,547
1057,Matt Maroon,Owner,547
1058,Justin Cannon,Founder,548
1059,Sascha Kuzins,Founder,550
1060,Patrick Swieskowski,Founder,550
1061,Brian Fioca,,551
1062,"Tony Wright, (Product & Growth)",(Product & Growth),551
1063,"Jeff Vyduna, CEO",CEO,552
1064,"Brad Gessler, CTO",CTO,552
1065,Ilia Baranov,,553
1066,Stefan Seltz-Axmacher,,553
1067,Jesse Beller,Founder,554
1068,Sola Ogunsakin,Founder,554
1069,Montana Scher,,555
1070,James Thompson,,555
1071,Hansel Hansel,,556
1072,Steven Walentino,,556
1073,Nicolas Bayerque,,557
1074,Pablo Orlando,,557
1075,Jack Saracco,,557
1076,Mary Saracco,,557
1077,Etienne DEGUINE,,558
1078,Chris Navrides,,558
1079,Ricky Barrett,,559
1080,Ananya Zutshi,,559
1081,Ijeoma Akwiwu,,560
1082,Nkiru Amadi-Emina,,560
1083,David Cox,,561
1084,Brycen Wershing,,561
1085,Gabriel B.,,562
1086,Max Cho,,562
1087,Philip Eller,,563
1088,Mathias Nestler,,563
1089,Zawad Chowdhury,,564
1090,Faisal Ilaiwi,,564
1091,Jahangir Mohammed,,565
1092,Bharath Kumar Reddy,,565
1093,ZJ Lin,,566
1094,Sanjay Mandava,,566
1095,Jonathan Richards,,566
1096,Mikael Nida,,567
1097,Cameron Duncan,,568
1098,Nihar Parikh,,568
1099,Axle Labs,,568
1100,Daniel Carmona,,569
1101,Miquel Llobet,,569
1102,Stephanie Grayson,,570
1103,Leia de Guzman,,570
1104,Bryan He,,571
1105,David Ouyang,,571
1106,Berkay Adlim,,572
1107,Kelsey Pedersen,Founder,573
1108,Michele Van Ruiten,Founder,573
1109,Paras Rajput,,574
1110,Vedant Kumar,,574
1111,Kimberly McManus,,575
1112,Sneh Patel,,575
1113,Jose Palacios,,576
1114,Christophe Robilliard,,576
1115,Joel Darin,,577
1116,Robert Keane III,,577
1117,James Bowers,,578
1118,Matt Williamson,,578
1119,Oriol Hernandez i Fajula,Founder,579
1120,Marius Montmany,Founder,579
1121,Rajat Jaiswal,,580
1122,Raghav Malik,,580
1123,Pradhith Konduri,,581
1124,Vidhi Vakharia,,581
1125,Jocelyn Kang,,582
1126,Caroline Zhang,,582
1127,Alex Chiou,,583
1128,Rahul Pandey,,583
1129,Edgar Cabrera,,584
1130,Andres Paez,,584
1131,Pranov Duggasani,,585
1132,Zoe Holderness,,585
1133,Emmanuel Rex Rodriguez,,586
1134,Joseph Tan,,586
1135,Henry Yeh,,586
1136,Chun Jiang,,587
1137,Ben Kramer,,587
1138,Aymar Dumoulin,,588
1139,Jeremy Gozlan,,588
1140,Louis de Jenlis,,588
1141,Abhi Patel,,589
1142,Adi Patel,,589
1143,Alison Liddy,,590
1144,Barry McDermott,,590
1145,Adit Patel,,591
1146,Maharshi Patel,,591
1147,Dimitris Nikolaou,,592
1148,Youssef Rizk,,592
1149,Kshitij Jain,,593
1150,Sanskar Jain,,593
1151,Hemant Phalak,,593
1152,Adil Bouhdadi,,594
1153,Harry Cheslaw,,594
1154,Bryan Onel,,595
1155,Ora Onel,,595
1156,Ch Haziq Ahmed,,596
1157,Hammad Bawany,,596
1158,Mohammad Ahsan Kidwai,,596
1159,Kassim Shroff,,596
1160,Sultan Alkhayal,,597
1161,Yasser Alshurihi,,597
1162,Carly Allen,,598
1163,Tara Raffi,,598
1164,Nathalie Capati,,599
1165,T. Dalton Combs,,599
1166,Matt Mayberry,,599
1167,Abdullah Alkharashi,,600
1168,Ammar Alkhouli,,600
1169,Motasim Zawawi,,600
1170,Ted Chai,,601
1171,Dylan Feng,,601
1172,Marshall Johnston,Founder,602
1173,Alan Nowogrodski,Founder,602
1174,Alexander Grant,,603
1175,Alexander Maher,,603
1176,Brady Ochse,,603
1177,Nicholas Yarmesch,,603
1178,Eric Ciarla,,604
1179,Garrett Frohman,,604
1180,Caleb Peffer,,604
1181,Nicolas Silberstein Camara,,604
1182,Noam Grebler Farras,,605
1183,JP Montoya,,605
1184,Paulo Albuquerque,,606
1185,Patrick Mc Dougall Sterea,,606
1186,Bianca Orsini,,606
1187,Paul Adokiye Iruene,,607
1188,Henry Nneji,,607
1189,Alan Pham,,608
1190,Vikranth Srivatsa,,608
1191,Ivy Pham,,608
1192,Milad Moh,Founder,609
1193,Inaz Novin,Founder,609
1194,Alberto Gimeno,,610
1195,Carmelo Juanes,,610
1196,Adrian Ramirez,,610
1197,Alvaro Sosa,,611
1198,Fernando Varela,,611
1199,Tanmay Chaudhari,,612
1200,Vivek Kumar,,612
1201,Prashant Upadhyay,,612
1202,Morẹ́nikẹ́ Ọláòṣebìkan,,613
1203,Tim Ioannidis,,614
1204,Nikos Legbelos,,614
1205,Antonis Mitropoulos,,614
1206,Phelix Juma,,615
1207,Sidney Rema,,615
1208,Jonathan Aeschlimann,,616
1209,Lourenço Maciel,,616
1210,Pedro Nascimento,,616
1211,Christopher Chae,,617
1212,Sangyong Jung,,617
1213,Arthur (Hyun June) Kim,,617
1214,Jace Kendrick,,618
1215,Chandler Rogers,,618
1216,Nicholas Van Slooten,,618
1217,Abdallah AbuHashem,,619
1218,Amer Baroudi,,619
1219,Edward Yee,,619
1220,Sunny Sun,Founder,620
1221,Alex Wolf,Founder,620
1222,Andrea Bonapersona,,621
1223,Alexandre Casteau,,621
1224,Jean-Joseph MARIANI,,621
1225,Anurag Dixit,,622
1226,Ramesh Konatham,,622
1227,Anshul Mishra,,622
1228,Chaitanya Sarda,Founder,623
1229,Rushabh Shah,Founder,623
1230,Tom Middleton,,624
1231,Brain Xiang,,624
1232,Itai Peri,,625
1233,Idan Shahar,,625
1234,Maciej Szcześnik,,626
1235,Nathaniel Ventura,,626
1236,Sunny Bhagavathula,,627
1237,Nate Hamet,,627
1238,David Lawrence,,627
1239,Zach Meza,,627
1240,Shaishav Parekh,,627
1241,Matt Regan,,627
1242,Tom Bachant,,628
1243,Jake McCloskey,,628
1244,Alexander Kuebel,,629
1245,Niklas Higi,,629
1246,Aike Hillbrands,,629
1247,Fabian Rothfuß,,629
1248,Segun Adeyemi,,630
1249,GBEKELOLUWA OLUFOTEBI,,630
1250,Olamide Sobowale,,630
1251,Sagar Agarwal,,631
1252,Gajendra Khatri,,631
1253,Felipe Domínguez,,632
1254,Sebastian Margozzini,,632
1255,Ignacio Márquez,,632
1256,Antonia San Martin,,632
1257,Shaan Franchi,,633
1258,Aviraj Singh,,633
1259,Noe Branagan,,634
1260,Nelson Munoz,,634
1261,Luis Pellerano,,634
1262,Kyle Hooten,,635
1263,Austin McCoy,,635
1264,Manvir Singh,,635
1265,Saurabh Jain,,636
1266,Aahan Sawhney,,636
1267,Ian Eaves,,637
1268,Dan Goodman,,638
1269,Alex Pickett,,638
1270,Hakim Khalafi,,639
1271,Deepak Singla,,639
1272,Colin Elsinga,,640
1273,Dima Goncharov,,640
1274,Fenn Bailey,CTO,641
1275,Azim Barodawala,Founder,641
1276,Tom Howard,Founder,641
1277,Max Keenan,,642
1278,Angela Liu,,642
1279,James Liu,,642
1280,"Daniel Gomari, CEO",CEO,643
1281,Brent LaRue,,643
1282,Cedric Foudjet,,644
1283,Gwanygha’a Gana,,644
1284,Femi Aluko,,645
1285,Olumide Ojo,,645
1286,Lanre Yusuf,,645
1287,Sibesh Kar,,646
1288,Shubham Mishra,,646
1289,Etai Avrahami,,647
1290,Tzachi Davidovich,,647
1291,Jake Vacovec,,647
1292,Daniel Putzer,,648
1293,Philipp Weber,,648
1294,Ryan Downing,,649
1295,Bryan Houlton,,649
1296,Egal Lazarev,,650
1297,Sasha Medvedovsky,,650
1298,Blesson Abraham,,651
1299,Jay Patel,,651
1300,Faza Fahleraz,,652
1301,Gery Nugraha,,652
1302,Albert Sahala Theodore,,652
1303,Timothy Carambat,,653
1304,Jorrel Sto Tomas,,653
1305,Jamie Balsillie,,654
1306,Wilson Ruotolo,,654
1307,Shyam Maddali,,655
1308,Vinodh Poyyapakkam,,655
1309,Alexandre Roubaud,,656
1310,Kabir Sethi,,656
1311,Nikita Ermoshkin,,657
1312,Brendan Quinn,,657
1313,Abhinav Chugh,,658
1314,Alagu M,,658
1315,James Chen,,659
1316,Jensen Kuo,,659
1317,Evis Drenova,,660
1318,Nick Zelei,,660
1319,David Marquez,,661
1320,Josh Supan,,661
1321,Dan Burke,Founder,662
1322,Akhil Reddy,Founder,662
1323,Juan Alvarez,,663
1324,Juanjo Ferrero,,663
1325,Federico Garcia Dura,,663
1326,Mariano Lisiotti,,663
1327,Ignacio Santa Cruz,,663
1328,Brendan Ardagh,,664
1329,Luigi La Corte,,664
1330,Matias Gath,,665
1331,Agustin Iglesias,,665
1332,Shardul Lavekar,,666
1333,Parth Mudgal,,666
1334,Artem Bugara,,667
1335,Maksym Sugonyaka,,667
1336,Janis Berneker,,668
1337,David Eberle,,668
1338,Nikhil Shah,,669
1339,Apoorve Singhal,,669
1340,Cayter Goh,,670
1341,Thomas Jiang,,670
1342,Jonathan Low,,670
1343,Deema Adada,,671
1344,Guillaume Lo Re,,671
1345,Tal Auslander,,672
1346,Moti Elkayam,,672
1347,Daniel Haven,,672
1348,Daniel Lenton,,673
1349,Aldo Del Valle,,674
1350,Ernie Ho,,675
1351,John Lin,,675
1352,Arvind Ramesh,,676
1353,Raimie Tang,,676
1354,Anton Pluschke,,677
1355,Marilena Schmich,,677
1356,Ed Adjei,,678
1357,Eric Adjei,,678
1358,Gladys Adjei,,678
1359,Ravi Bakhai,Founder,679
1360,Narahari Bharadwaj,Founder,679
1361,Elliot DeNolf,,680
1362,James Mikrut,,680
1363,Dan Ribbens,,680
1364,Vicki Mo,,681
1365,Ruby Yu,,681
1366,Daniela Bahamon Arango,,682
1367,Mika Eddy,,682
1368,Orlando Li,,682
1369,Michael Royzen,,683
1370,Justin Wei,,683
1371,Benjamin Alva,,684
1372,Jesse Evans,,684
1373,Eric Herrera,,684
1374,James Hu,,685
1375,Eldrick Millares,,685
1376,Dane Cook,,686
1377,Jad Rahbany,,686
1378,Matthew Rybak,,686
1379,Asaf Amit,,687
1380,Yaniv Knoll,,687
1381,Hassan Lantry,,688
1382,Sami El Bouari,,688
1383,Ishan Gupta,,689
1384,David Paffenholz,,689
1385,Savraj Singh,Founder,690
1386,Eudelio Garza,,691
1387,Javier Roberts,,691
1388,Ricardo Villarreal Chapa,,691
1389,Miha Mlakar,,692
1390,Mourad Mourafiq,,692
1391,Naimisha Rao,,693
1392,Dilip Jain,,693
1393,Manthan Shah,,693
1394,Jakub Cichon,,694
1395,Bruno Jacob,,694
1396,Dylan Mikus,,694
1397,Ben Sadeghi,,694
1398,Ruben Fiszel,,695
1399,Mohammad AbuAboud,Founder,696
1400,Ashraf Samhouri,Founder,696
1401,Graham Doig,,697
1402,William Sutton,,697
1403,Priyansh Srivastava,,698
1404,Sriyansh Srivastava,,698
1405,Julian Rowlands,,699
1406,"Ashwin Balamohan, CTO",CTO,699
1407,Sarup Banskota,,700
1408,Paul Kuruvilla,,700
1409,Solal Afota,,701
1410,Nathaniel Masfen-Yan,,701
1411,Dhruv Mangtani,,701
1412,Joseph Nuriel,Founder,702
1413,Guy Shahar,Founder,702
1414,Arjun Bisen,,703
1415,Tad Mielnicki,,703
1416,Zara Perumal,,703
1417,Tunde Adewole,,704
1418,Festus Owumi,,704
1419,Myra Arshad,,705
1420,Avneet Ghotra,,705
1421,Hannah Olson,,706
1422,Kai Keane,,706
1423,Beau Allison,Founder,707
1424,Philip Kelvin,Founder,707
1425,Fiyi Adebekun,,708
1426,Jared Boisvert,,708
1427,Prosser Cathey,,708
1428,Hudson Hooper,,708
1429,Cooper Jones,,708
1430,Dustin Lange,,709
1431,Tammo Rukat,,709
1432,Leo Chanea,,710
1433,Gil Peretz,,710
1434,Guy Ziv,,710
1435,Jacob Fortinsky,,711
1436,Kelechi Ukah,,711
1437,Kadir Samed Karagoz,,712
1438,Griffin Wheeler,,712
1439,Okky Pratama,,713
1440,Ans Syuhada,,713
1441,John Goertz,,714
1442,Celestin de Wergifosse,,714
1443,Etienne Bernard,,715
1444,Samuel Bernard,,715
1445,Nitzan Gelbard,Founder,716
1446,Noam Izhaki,Founder,716
1447,Alon Peretz,Founder,716
1448,Deepanshu .,,717
1449,Smit Patoliya,,717
1450,Mikey Murphy,,718
1451,Shane Murphy,,718
1452,Max Lu,,719
1453,Himanshu Minocha,,720
1454,Rohan Minocha,,720
1455,Tarun Prasad,,721
1456,Kabir Nagral,,721
1457,Deepit Patil,,721
1458,Ishwar Gogineni,,722
1459,Parth Shah,,722
1460,Sidharth Rao,,722
1461,Matthew Iommi,,723
1462,Justin Rath,,723
1463,Andrew Peterson,,724
1464,Jose Isaac Robledo,,724
1465,Hetal Shah,Founder,725
1466,Rakesh Tondon,Founder,725
1467,charlie bowman,Founder,725
1468,Maxwell Sherman,,726
1469,Adam Yaari,,726
1470,Daniel Akle Carranza,,727
1471,Fran Guzman,,727
1472,Antonio Longoria,,727
1473,Matt Sun,,728
1474,Daniel Wasserlauf,,728
1475,Bilal Dahlab,,729
1476,Kuassi Jimmy Kumako,,729
1477,Shams Radjabaly,,729
1478,Luke Singham,,730
1479,Matt Sutton,,730
1480,Joao Victor Aguiar,Founder,731
1481,Vitor Gomes Miranda,Founder,731
1482,Rodrigo Marino,Founder,731
1483,Kushagra Manglik,,732
1484,Srinivas Sarkar,,732
1485,Matt Brown,,733
1486,Vasilica Coscotin,,733
1487,Jonty Knox,,733
1488,Simar Kohli,,734
1489,Samik Shrotriya,,734
1490,Danny Hakimian,Founder,735
1491,Max Morlocke,Founder,735
1492,Elad Fouks,,736
1493,Shahaf Gonen,,736
1494,Michael Gygli,,737
1495,Nikolay Kobyshev,,737
1496,Karim Saleh,,737
1497,Clement Bruneau,,738
1498,Loic Veillard,,738
1499,Salem Abu-Hammour,,739
1500,Youssef Said,,739
1501,Faris Yaghmour,,739
1502,Logan Frederick,,740
1503,Zheng Hao Tan,,740
1504,Ignacio Ampuero,,741
1505,Pauline Roteta,,741
1506,Julie Scotland,,741
1507,Brendan Ashworth,,742
1508,Michael Egan,,742
1509,Nick Browne,,743
1510,Edward Clayton,,743
1511,Yo Shibata,,744
1512,Misato Takahashi,,744
1513,Neo Cho,Founder,745
1514,Alex Reyes,Founder,745
1515,Aaron Kahane,,746
1516,Drew Schneider,,746
1517,Salomon Serfati,,746
1518,Justin Clark,,747
1519,Dillon Martin,,747
1520,Nicholas McCormick,,747
1521,Zach McCormick,,747
1522,Hazim Jumali,,748
1523,John Rising,,748
1524,Henson Orser,,749
1525,Max Ponte,,749
1526,Thomas Moore,,750
1527,Ted Power,,750
1528,Ashish Agarwal,,751
1529,Pratik Mundra,,751
1530,Gaurav Aggarwal,,752
1531,Anuja Verma,,752
1532,Allison Bellows,,753
1533,Agni Bhattacharya,,753
1534,Rohan Doshi,,754
1535,Prathik Muppidi,,754
1536,Neil Assur,,755
1537,Johan Kers,,755
1538,Ross Geiger,,756
1539,Richard Lee,,756
1540,David Winer,,756
1541,Rahul Sonwalkar,,757
1542,Tanuj Tiwari,,757
1543,Andrew Duberstein,,758
1544,Dayton Thorpe,,758
1545,Utkarsh Tandon,Founder,759
1546,Ryan Endacott,,760
1547,Drew Wetherington,,760
1548,Emmanuel Turlay,,761
1549,Amey Chaugule,,762
1550,Matt Green,,762
1551,Charles Bai,,763
1552,James McWalter,,763
1553,Eilam Levitov,,764
1554,Eric Yen,,764
1555,Amit Bar,,765
1556,"Ehud Halberstam, CEO",CEO,765
1557,David Abusaid,,766
1558,George Marvin,,766
1559,Warren Lee,,767
1560,Michael Shi,,767
1561,Joe Averbukh,,768
1562,Stepan Parunashvili,,768
1563,Fabien Devos,,769
1564,Naren Manoharan,,769
1565,Ben Reilly,,770
1566,Colin Snyder,,770
1567,Hari Bhaskaran,,771
1568,Arjun Soin,,772
1569,Arnav Bathla,,773
1570,Alex Duta,,774
1571,Shamoil Soni,,774
1572,Abhay Agarwal,,775
1573,Sam Young,,775
1574,Piero Nunez del Risco,,776
1575,Luis Peña,,776
1576,Nizar Batada,,777
1577,Alex Kilkka,,778
1578,Olly Wilson,,778
1579,Rahul Agarwal,,779
1580,Cody Ebberson,,779
1581,Reshma Khilnani,,779
1582,Vansh Langer,,780
1583,Julien Cottineau,,781
1584,David Delbourgo,,781
1585,Divij Goyal,,782
1586,Indrajeet Roy,,782
1587,Ankit Shrivastava,,782
1588,Chris Hill,,783
1589,Cory O'Daniel,,783
1590,david williams,,783
1591,Gaurav Bharaj,,784
1592,Benjamin Colman,,784
1593,Ali Shahriyari,,784
1594,Piotr Godzinski,,785
1595,Julian May,,785
1596,Jose Tomas Lobo,,786
1597,Sebastian Ortiz,,786
1598,Juan Camilo Poveda,,786
1599,Salomon Zarruk Valencia,,786
1600,David Mokos,,787
1601,Adam Zvada,,787
1602,Dekha Anggareska,,788
1603,Gabriel Frans,,788
1604,Christian Lie,,788
1605,Brant Choate,,789
1606,Widijastoro Nugroho,,790
1607,Larry Ridwan,,790
1608,Andre Septiano,,790
1609,Jeffrey D. Epstein,,791
1610,Will Stevenson,,791
1611,Josh Howland,,792
1612,Trevor McKendrick,,792
1613,Mario Gaw,,793
1614,Kristian F H Sinaulan,,793
1615,Jay Chia,,794
1616,Sammy Sidhu,,794
1617,Alex Conway,,795
1618,Sascha Lang,,795
1619,Shawn Drost,,796
1620,Terence Vomocil,,796
1621,Reinhart Hermanus,,797
1622,Philip Moniaga,,797
1623,Sebastian Yaphy,,797
1624,Tobias Müller,,798
1625,Yannick Müller,,798
1626,Blanca Espinosa,,799
1627,Jorge Moreno Sanchez Briseno,,799
1628,Jorge Vizcayno,,799
1629,Felipe Restrepo,,800
1630,camilo ruiz,,800
1631,Kapil Bakshi,,801
1632,Peter Thomas,,801
1633,Jose Alberto Gonzalez Rouille,,802
1634,Mads Schmidt Petersen,,802
1635,Yonathan Faber,,803
1636,Renan Oliveira,,803
1637,Gustavo Piedade,,803
1638,Hao Zheng,,804
1639,Florian Braeuer,,805
1640,Marvin Musialek,,805
1641,Phillip Gulley,,806
1642,Matthew Haber,,806
1643,Ian Rust,,807
1644,Rahul Anand,,808
1645,Rob McEwan,,808
1646,Gesa Biermann,,809
1647,Florian Fincke,,809
1648,Jonas Kerber,,809
1649,Valentin Chomel,,810
1650,Eloa Guillotin,,810
1651,Hugo Tarlé,,810
1652,Sean Doherty,,811
1653,Timothy Goltser,,811
1654,Curtis Mason,,811
1655,Beth Hoffman,,812
1656,Greg Kufera,,813
1657,Herman Phillips,,813
1658,Roger Tran,,813
1659,Mark Cyffka,,814
1660,Sudip Mukhopadhyay,,814
1661,Nidhi Jain,,815
1662,Prasanna Naik,,815
1663,Insa Mohr,,816
1664,Jochen Mueller,,816
1665,Sean Ang,,817
1666,Geoffrey See,,817
1667,Van Tran,,817
1668,Roshni Aslam,Founder,818
1669,Mohammed Roshan,Founder,818
1670,Philip Brinkmann,,819
1671,Felix Steinbrenner,,819
1672,Fabian Warmdt,,819
1673,Andy Sudarman,,820
1674,Jason Gillham,,821
1675,Renee Grogan,,821
1676,Oliver Gunasekara,,821
1677,Tim Hyer,,822
1678,Nicholas Meyers,,822
1679,Dirk Jan van Veen,,823
1680,Walter Pintor,,823
1681,Anh-Tuan Bui,,824
1682,Alexander Kwan,,824
1683,Yaniv Bernstein,,825
1684,George Oliver,,825
1685,Nick Ramsay,,825
1686,Pantha Roy,,825
1687,Kushal Pillay,,826
1688,Ivo Verhaegh,,826
1689,Felipe Abello,,827
1690,Angela Castillo,,827
1691,Ngoc Nguyen,,828
1692,Quan Nguyen,,828
1693,Eren Canarslan,,829
1694,Jasmine Sungu,,829
1695,Dillon Carns,,830
1696,Alex Feiszli,,830
1697,Shashank Khanna,,831
1698,Rebecca Lee,,831
1699,Charlotte McGinn,,831
1700,Brian Bristol,,832
1701,Kaben Clauson,,832
1702,Janice Min,,833
1703,Richard Rushfield,,833
1704,Abdulhamid Haidar,,834
1705,Rory McMeekin,,835
1706,Christopher Mjelde,,835
1707,Alan Chan,,836
1708,Yeefun Lin,,836
1709,Ethan Wu,,836
1710,Naina Limbekar,Founder,837
1711,Rahul Sharma,Founder,837
1712,Kathryn Cross,,838
1713,Kareem Kouddous,,839
1714,Rob Morris,,839
1715,MJ Kim,,840
1716,Shyam Kalairajah,,841
1717,Reinaldo Tendean,,841
1718,Shylla Pramadhani,,841
1719,Max Clarke,,842
1720,Tommy Peeples,,842
1721,Ranajay Sen,,842
1722,Alexandra Amico,,843
1723,Maca Baigorria,,843
1724,Muhammad Shamoon Tariq,,844
1725,Merwane Drai,,846
1726,Duc Pham,,847
1727,Tung Tran,,847
1728,Aaron Tran,,848
1729,Ross Gruber,,849
1730,Greg Sirotek,,849
1731,Don Engel,,850
1732,Quyen Hua,,850
1733,Ricky Nariani,,850
1734,Bill Newhart,,850
1735,Nicolas Benenzon,,851
1736,Geronimo Maspero,,851
1737,Kai (Jiabo) Feng,,852
1738,Marc Allen,,853
1739,Grace Sai,,853
1740,Jennifer Curtin MD,,854
1741,Ryan Kellogg,,854
1742,Oren Friedman,,855
1743,Alec Robins,,855
1744,Bobby Pinckney,,856
1745,Michelle Yin,,856
1746,Toby Edward,,857
1747,Alexandra Zwiener,,857
1748,Sanket Agarwal,,858
1749,Abhi Arora,,858
1750,Siddhi Mittal,,859
1751,Heinin Zhang,,859
1752,Horacio Faudella,,860
1753,Andrés González - Olaechea,,860
1754,William Wong,,860
1755,Eduardo Blancas,,861
1756,Ido Michael,,861
1757,Christy Johnson,,862
1758,Ryan Johnson,,862
1759,Lauren Sullivan,,862
1760,Eduardo Amaya,,863
1761,Debashish (Deb) Bhadra,,863
1762,Gianfranco Gentille,,863
1763,Michael Luo,,864
1764,Shai Bruhis,,865
1765,Daniel Camilleri,,865
1766,"Tullie Murrell, CEO",CEO,865
1767,Salman Allana,,866
1768,Alex Sergeev,,867
1769,Marat Zhanabekov,,867
1770,Daniel Lewis,,868
1771,Nick Rubin,,868
1772,Murillo Freitas,,869
1773,Guilherme Guerra,,869
1774,Ythalo Silva,,869
1775,Fábio Witt,,869
1776,Omar Said López Tronco,,870
1777,Marisol Sánchez,,870
1778,Alejandro Flores-Hernandez,,871
1779,Mauricio Martínez,,871
1780,Chris Hsu,,872
1781,Steve Troy,,872
1782,Fai Nur,,873
1783,Blossom Okonkwo,,873
1784,Great Okonkwo,,873
1785,Rafal Pielak,,874
1786,Jen Wan,,874
1787,Alexander Carlson,,875
1788,Will Collier,,875
1789,Charlie Durbin,,875
1790,Will Kantaros,,875
1791,Taylor Baldwin,,876
1792,Paul Butler,,876
1793,Oban MacTavish,,877
1794,Cooper Hart,,877
1795,Andrei Soroker,,878
1796,Andrew Israel,,879
1797,Gabriel Barreto,,880
1798,John Burnham,,880
1799,Samuel Burnham,,880
1800,Emil Dalgård Rasmussen,,881
1801,Kamil Ryszkowski,,881
1802,Junaid Babatunde,,882
1803,Moses Enenwali,,882
1804,Yazin Alirhayim,,883
1805,Gorka Aguirre,,884
1806,Juan coll Soler,,884
1807,Arosha Brouwer,,885
1808,Lucy Howie,,885
1809,Aamir Hudda,,886
1810,Joseph Yeh,,886
1811,Soumyajit Das,,887
1812,SAMAY JAIN,,887
1813,Zhixuan Lai,,888
1814,Haoyu Zha,,888
1815,Teddy Li,,889
1816,Weeks Mensah,,889
1817,Kwadwo Nyarko,,889
1818,Danilo Cabello,,890
1819,Jason Goldlist,,890
1820,Pei Li,,890
1821,Frank Poon,,890
1822,Maxim Perumal,,891
1823,Ulises Carrasco,,892
1824,Mahmoud Parto,,892
1825,Jovan Choongh,Founder,893
1826,Karan Grover,Founder,893
1827,Zachary Kirby,,894
1828,Avery Yip,,894
1829,Kuberan Marimuthu,,895
1830,Brad Brenner,,896
1831,Kevin Bunarjo,,896
1832,Isaac Eaves,,896
1833,Vinesh Arun,,897
1834,Kunal Garg,,897
1835,Ian Yanusko,,897
1836,Justin Cannon,Founder,898
1837,Miran Junaidi,,899
1838,Sourav Sanyal,,899
1839,Christian Hermawan,,900
1840,Fajar Kuntoro,,900
1841,Daniel van Leeuwen,,900
1842,Hendry Chou,,900
1843,Ben Best,,901
1844,Catherine Denis,,901
1845,Mina Shahid,,901
1846,Jeremy Albinet,,902
1847,Chafik Belhaoues,,902
1848,Celilsemi Sam Erkiner,,903
1849,Jeevika Makani,,903
1850,Neil Chen,,904
1851,Nish Ithayakumar,,904
1852,LIUSHA HUANG,,904
1853,Mason Chilmonczyk,,905
1854,Ingrid van Welie,,906
1855,Maria Doliashvili,,907
1856,Ana Robakidze,,907
1857,Nelson Jones,,908
1858,Saaras Mehan,,908
1859,Omar Shams,,909
1860,Sebastian Arce,,910
1861,Ruben Cordoba,,910
1862,Vladimir Guzman,,910
1863,Alexander Björkenstam,,911
1864,Edvin Fernqvist,,911
1865,Benjamin Waye,,911
1866,Yohan Elbase,,912
1867,Kevin Ohana,,912
1868,Craig Weiss,,913
1869,Shourya Lala,,914
1870,Manish Maryada,,914
1871,Abhishek Jain,,915
1872,Aditya Ketkar,,915
1873,Jill Boyce,,916
1874,Basel Salahieh,,916
1875,Forrest Briggs,,917
1876,Tunde Akinnuwa,Founder,918
1877,Emeka Okwuagwu,Founder,918
1878,Yele Oyekola,Founder,918
1879,Manish Reddy,,919
1880,Sarthak Agrawal,,919
1881,CHUNG WONG,,920
1882,Tin Wong,,920
1883,Lee C. Lin,Founder,921
1884,Lawrence Zhou,Founder,921
1885,Jitin Bhasin,,922
1886,Gaurav Luthra,,922
1887,Anurag Varma,,922
1888,Tim Lee,,923
1889,Ben Wong,,923
1890,Paulin Andurand,,924
1891,Nicolas le Jeune,,924
1892,Haakon Brunell,,925
1893,Hans Arne Flåto,,925
1894,Kristoffer Roil,,925
1895,Brad Sickles,,926
1896,Scott Sickles,,926
1897,Youmin Kim,,927
1898,Gabriel Archanjo,,928
1899,Lorhan Caproni,,928
1900,Hakeem Adeyemi Orewole,,929
1901,Bashir Aminu,,929
1902,John Anisere,,929
1903,Phil Brennan,,930
1904,Glen Wise,,930
1905,Lione Alushula,,931
