id,name,role,company_id
437,"Bryan Wilcox, CTO",CTO,217
438,"David Rusenko, CEO",CEO,218
439,"Chris Fanini, CTO",CTO,218
440,"Dan Veltri, CPO",CPO,218
441,"Pierre Betouin, CEO",CEO,219
442,"Jean-Baptiste Aviat, CTO",CTO,219
443,Alex Polvi,CEO,220
444,"Austen Allred, CEO",CEO,221
445,Roger Kirkness,,222
446,Chris Grouchy,,222
447,Auston Bunsen,,223
448,Dmitry Shklovsky,,223
449,Manuel Kreutz,,223
450,Alexander Nabutovsky,,223
451,Rafael Stark,Founder,224
452,Mostafa Amin,Founder,225
453,Muhammad Habib,Founder,225
454,Abdallah Nofal,Founder,225
455,Orion Henry,Founder,226
456,James Lindenbaum,Founder,226
457,Adam Wiggins,CTO,226
458,Igino Cafiero,CEO,227
459,Aubrey Donnellan,Founder,227
460,Gregory Rocco,,228
461,Wayne Chang,,228
462,"Deepak Chhugani, CEO",CEO,229
463,Yin Wu,,230
464,Kevin Law,Founder,231
465,Sameer Shariff,Founder,231
466,Alice Zhang,CEO,232
467,"Yusuf Sherwani, CEO",CEO,233
468,Maroof Ahmed,,233
469,"Sarim Siddiqui, Chief Medical Officer",Chief Medical Officer,233
470,Ian Christopher,Founder,234
471,Mudit Garg,CEO,234
472,Brent Newhouse,Founder,234
473,"Matthew Mayaki, Senior Vice President Product",Senior Vice President Product,235
474,"Femi Kuti, CEO",CEO,235
475,"Opeyemi Olumekun, COO",COO,235
476,"Koby Jacob Soto, CTO",CTO,236
477,"Amiad Soto, CEO",CEO,236
478,"Diego Rey, CSO",CSO,237
479,Jason Springs,,237
480,Leonardo Teixeira,,237
481,Blake Meulmester,COO,238
482,Charlie Warren,CEO,238
483,Idan Hershko,Founder,239
484,Nir Smadar,CTO,239
485,Dekel Valtzer,CEO,239
486,Neal O'Mara,CTO,240
487,Joseph Walla,CEO,240
488,Giovanni Casinelli,,241
489,"Andrea Baronchelli, CEO",CEO,241
490,Eric Futoran,,242
491,Fredric Newberg,,242
492,"DROdio - Daniel R. Odio, Chairman & Founding CEO",Chairman & Founding CEO,243
493,"Ben Mappen, CPO",CPO,243
494,"Isaac Mosquera, CTO",CTO,243
495,TULIO JIMENEZ,Founder,244
496,MANUELA SANCHEZ,Founder,244
497,Camilo Sanchez,Founder,244
498,Aziz Alghunaim,,245
499,Mahmoud Ghulman,,245
500,Kwindla Hultman Kramer,Founder,246
501,Naeem Ahmed,,247
502,Vasil Damyanov,,247
503,John Thomas,,247
504,"Ted Blosser, Head of Growth",Head of Growth,249
505,"Arsh Mand, COO",COO,249
506,Tom Lemberg,Founder,250
507,Vikesh Khanna,Founder,251
508,Shikhar Shrestha,CEO,251
509,Joe Doliner,CEO,252
510,Joey Zwicker,Founder,252
511,Ashish Dubey,,253
512,Dheeraj Jain,,253
513,Aditya Kandoi,,253
514,Michael Kong,CTO,254
515,Kestrel Linder,CEO,254
516,Chinmay Chauhan,,255
517,Abhinay Peddisetty,,255
518,"Vasco Pedro, CEO",CEO,256
519,"João Graça, CTO",CTO,256
520,"Bruno Prezado Silva, Lead Designer",Lead Designer,256
521,"Hugo Silva, Developer",Developer,256
522,Puneet Mehta,CEO,257
523,Kunaal Naik,CTO,258
524,Nisarg Patel,CPO,258
525,Manav Sevak,CEO,258
526,Sam Alba,Founder,259
527,Solomon Hykes,Founder,259
528,Andrea Luzzardi,Founder,259
529,Stephen Grabowski,Founder,260
530,Joe Sarre,Founder,260
531,"Greg Schvey, CEO",CEO,261
532,"Jeffrey Schvey, CTO",CTO,261
533,"Jay Reno, CEO",CEO,262
534,Jordan Gonen,Founder,263
535,Jacob Schein,Founder,263
536,Dan Lin-Arlow,Founder,264
537,Sebastian Palluk,Founder,264
538,Reeju Datta,Founder,265
539,Akash Sinha,Founder,265
540,"Christian Timmerer, CIO",CIO,266
541,"Stefan Lederer, CEO",CEO,266
542,"Christopher Mueller, CTO",CTO,266
543,Joe Du Bey,CEO,267
544,Guy Morita,Founder,267
545,Kyle Wilkinson,CTO,267
546,"Pedro Pineda, CEO",CEO,268
547,Agustín Feuerhake,,268
548,Omar Larré,,268
549,"Andres Marinkovic, CTO",CTO,268
550,"Conor Murray, CEO",CEO,269
551,"Phillip Wei, CTO",CTO,269
552,Carly Leahy,Founder,270
553,Afton Vechery,CEO,270
554,John Backus,CTO,271
555,Alain Meier,CEO,271
556,Christopher Morton,President and COO,271
557,Dylan Fox,Founder,272
558,Michael Dwan,Founder,273
559,Jerome Gravel-Niquet,Founder,273
560,Kurt Mackey,Founder,273
561,Thomas Ptacek,Founder,273
562,"Sondre Rasch, CEO",CEO,274
563,"Sarah Sandnes, CTO",CTO,274
564,"Hans Nyvold Kjellby, COO",COO,274
565,Greg Kidd,Founder,275
566,Meg Nakamura,Founder,275
567,Lauren Frazier,Founder,276
568,Andy Tsen,Founder,276
569,Eric Yu,Founder,277
570,Peter Zhou,Founder,277
571,Lucia Huang,,278
572,Jimmy Qian,,278
573,Aylon Steinhart,,279
574,Thomas Elliott Bowman,,279
575,Nicolas Knockaert,,280
576,Benjamín Labra,,280
577,Shola Akinlade,CEO,281
578,Ezra Olubi,CTO,281
579,Alexis Rovner,Founder,282
580,Kevin Bai,,283
581,Victor Cardenas,,283
582,Nouman Ahmad,CEO,284
583,Ian Burgess,Founder,284
584,"Daniel Kivatinos, COO",COO,285
585,"Michael Nusimow, CEO",CEO,285
586,Tom Feldman,Founder,286
587,Andy Lapsa,Founder,286
588,Slava Solonitsyn,,287
589,Dmitry Starodubtsev,,287
590,Jeff Berens,Founder,288
591,Ryan Johnson,Founder,288
592,Hanna Marie Asmussen,,289
593,Lisa Dahlke,,289
594,Franzi Löw,,289
595,Lluis Canadell,,290
596,Man Hei Lou,,290
597,DK (Do Kyung) Lee,,291
598,Mark Lee,,291
599,Paul Gross,,293
600,Eric Harding,,293
601,Christina Reynolds,,293
602,Benji Encz,,294
603,Abhik Pramanik,,294
604,Abasi Ene-Obong,Founder,295
605,Ogochukwu Francis Osifo,Founder,295
606,Ife Oyedele II,Founder,296
607,Obi Ozor,Founder,296
608,Brian Gonzalez,Founder,297
609,Matthew Lafferty,Founder,297
610,Robin Kim,CEO,298
611,Bede Jordan,CTO,299
612,Stefan Kalb,CEO,299
613,Noureddine Tayebi,Founder,300
614,el mahdi Yettou,Founder,300
615,Vicente Zavarce,,301
616,Brian Vallelunga,,302
617,Thomas Piccirello,,302
618,"Nick Tommarello, CEO",CEO,303
619,"Greg Belote, CTO",CTO,303
620,"Ben Thompson, Chief Customer Officer",Chief Customer Officer,304
621,"Travis Kimmel, CEO",CEO,304
622,Abhijeet Dwivedi,Founder,305
623,Laks Srini,CTO,305
624,Hari Viswanathan,Founder,305
625,"Matt Schiller, CEO",CEO,306
626,"Riku Lindholm, COO",COO,307
627,"Albert Nazander, CTO",CTO,307
628,"Kristian Ranta, CEO",CEO,307
629,Michael Klinker,,309
630,Billy Thalheimer,,309
631,Elizabeth Iorns,President & CEO; Chairman of the Board,310
632,Dan Knox,Founder,310
633,Oriol Tintore,Founder,311
634,Pablo Viguera,Founder,311
635,Ivan Cardenas,Founder,312
636,Jasiel Cardenas,Founder,312
637,Allan (Amnon) Fisch,,313
638,CJ Isakow,,313
639,Jonathan Asmis,,314
640,Alex Lofton,,314
641,Francis Plaza,,315
642,Jaime Hing,,315
643,"Max Child, CEO",CEO,316
644,"James Wilsterman, CTO",CTO,316
645,Brad Dwyer,,317
646,Joseph Nelson,,317
647,Wilson Daniel Martinez,Founder,318
648,Felipe Otálora,Founder,318
649,Sebastián Valencia,Founder,318
650,James Hawkins,,319
651,Tim Glaser,,319
652,"Bo Lu, CEO",CEO,320
653,Jon Xu,,320
654,Khaled Kteily,,321
655,Sarah Steinle,,321
656,Christian Baroni,Founder,322
657,Jin Chung,Founder,322
658,Michael Demarais,Founder,322
659,Juan Martin Altamirano,,323
660,Emiliano Segura,,323
661,Agustin Novillo Saravia,,323
662,Chris Davlantes,Founder,324
663,Oliver Edholm,,325
664,Anton Osika,,325
665,Pelumi Aboluwarin,CTO,326
666,Yinka Adewale,CEO,326
667,Sambhav Jain,,327
668,Kush Taneja,,327
669,George Melika,CTO,328
670,Akbar Thobhani,Founder,328
671,Sam Oshay,,329
672,Jack Chen,,330
673,Pei-fu Hsieh,,330
674,Sunil Kumar,,330
675,Amit Jangir,,330
676,Bo Li,,330
677,Michael Cantalino,COO,331
678,Francois Chaubard,CEO,331
679,"James Cundle, CTO",CTO,332
680,"Tom Hadfield, CEO",CEO,332
681,"Andrey Klen, Chief Design Officer",Chief Design Officer,333
682,"Alex (Sasha) Neskin, CTO",CTO,333
683,"Yaroslav Azhnyuk, CEO",CEO,333
684,"Jim Xiao, President",President,334
685,Jason Kraft,CTO,335
686,Chris Upjohn,Founder,335
687,Shadi Saberi,CTO,336
688,Maryam Ziaei,|CEO,336
689,Jonas Blanck,,337
690,"Mathias Thulin, Executive Partner",Executive Partner,337
691,Carl Carell,,337
692,"Samir Smajic, CEO",CEO,337
693,Ray Sturm,CEO,338
694,Dmitrii Dumik,CEO,339
695,Artem Ptashnik,Founder,339
696,Andrew Yaroshevsky,CPO & COO,339
697,Mark Ke,CEO,340
698,Matthew Dukes,,341
699,"Rachel Vodofsky, Operations",Operations,341
700,Rohit Mittal,CEO,342
701,Priyank Singh,Founder,342
702,Ken Baylor,Founder,343
703,"Jesper Theil Thomsen, CEO",CEO,344
704,"Hjalte Emilio Wieth, CBO",CBO,344
705,"Christoffer Nyvold, COO",COO,344
706,Brandon Anderson,COO,345
707,James Barrett,Head of Business Development,345
708,Chris Stewart,CTO,345
709,Matthew Sweeny,CEO,346
710,"Dave Messina, COO",COO,347
711,"Jon Armstrong, Chief Scientific Officer",Chief Scientific Officer,347
712,"Jarret Glasscock, CEO",CEO,347
713,Mattias Lepp,Founder,348
714,Anna Santeramo,CEO,349
715,Salvatore Savo,| COO,350
716,Siping Wang,CTO,350
717,Chris Glace,Founder,351
718,Adam Steinberg,Founder,351
719,Jigar Patel,COO,352
720,Ritesh Patel,CEO,352
721,Robyn Exton,CEO,353
722,Travis Chase,Founder,354
723,Dave Gandy,CEO,354
724,William MacAskill,Founder,355
725,Benjamin Todd,CEO,355
726,Robert Wiblin,Founder,355
727,Mike Allen,CEO,356
728,Mark Godfrey,CTO,356
729,"Martin Kessler, COO",COO,357
730,"Alexandre Wayenberg, CEO",CEO,357
731,Mariya Nurislamova,Founder,358
732,Andrei Rebrov,CTO,358
733,Rachel ten Brink,CMO,358
734,Kartik Venkataraman,Founder,359
735,sandeep srinivasa,Founder,359
736,"Harrison Steed, Labor Management, Harvest Management, & Traceability",& Traceability,360
737,Austin Steed,,360
738,Nilmi Senaratna,,361
739,Marc Lara,,362
740,"Miguel Lara, CEO",CEO,362
741,Merih Akar,Developer,363
742,Ismail Ceylan,Software Developer,363
743,Pelin Kenez,CEO,363
744,Berk Çebi,Founder,363
745,Waqas Ali,co-CEO,364
746,Sidra Qasim,Founder,364
747,JS Boulanger,CTO,365
748,George Favvas,CEO,365
749,Waseem Alim,CEO,366
750,Zia Ashraf,Founder,366
751,Tejas Viswanath,CTO,366
752,Chris Field,,367
753,"Darby Wong, CEO",CEO,367
754,Corey Centen,CEO,368
755,Sarah Smith,Founder,368
756,Brian Bennett,CEO,369
